Unnamed: 0,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
6715,15027,Piso en venta en Ciudad Universitaria,"Moncloa, Madrid",274.0,,5,3.0,,,,,,True,,,,1.0,False,,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,2165,,False,1150000,4197,True,HouseType 1: Pisos,True,False,1980.0,,,,,,True,True,,True,True,,,,,True,True,en trámite,True,,,True,0.0,True,False,True,True
6716,15026,Ático en venta en Aravaca,"Moncloa, Madrid",166.0,,3,2.0,,,,,,True,,,,3.0,False,,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,2079,,False,679000,4090,True,HouseType 5: Áticos,False,False,2006.0,,,,,,True,True,,True,True,True,True,,,,True,E,True,,,True,0.0,,,,
6718,15024,Piso en venta en Argüelles,"Moncloa, Madrid",204.0,,3,3.0,,,,,,True,,,,1.0,False,,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,2512,,False,945000,4632,True,HouseType 1: Pisos,False,,2018.0,,,,True,True,True,False,,,,,,,,,,en trámite,True,,,True,0.0,False,False,True,False
6719,15023,Piso en venta en Argüelles,"Moncloa, Madrid",177.0,,3,3.0,,,,,,True,,,,1.0,False,,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,2428,,False,857000,4842,True,HouseType 1: Pisos,False,,2018.0,False,True,,True,True,True,False,,,,,,,,,,en trámite,True,,,True,0.0,False,False,True,False
6733,15009,Ático en venta en Aravaca,"Moncloa, Madrid",95.0,,2,2.0,,,,,,True,,,,2.0,False,,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,1528,,False,439000,4621,True,HouseType 5: Áticos,False,False,1997.0,False,True,,,True,True,True,,True,True,,True,,,,True,E,True,,,True,0.0,True,False,True,False
6745,14997,Piso en venta en Argüelles,"Moncloa, Madrid",205.0,,3,4.0,,,,,,True,,,,4.0,False,,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,1900,,False,1200000,5854,True,HouseType 1: Pisos,False,False,1950.0,,,,True,True,True,True,,,True,,True,,,,,en trámite,False,,,,,False,False,False,True
6746,14996,Ático en venta en Aravaca,"Moncloa, Madrid",240.0,,4,4.0,,,,,,True,,,,2.0,False,,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,1900,,False,1200000,5000,True,HouseType 5: Áticos,False,False,2011.0,False,True,,True,True,True,True,,True,True,,True,,,,True,B,True,,,True,0.0,False,True,False,True
6747,14995,Piso en venta en avenida de Valladolid,"Casa de Campo, Madrid",182.0,,4,2.0,,,,,Avenida de Valladolid,True,Avenida de Valladolid,,,3.0,False,,Neighborhood 74: Casa de Campo (3630.68 €/m2) - District 11: Moncloa,sale,2420,,False,852000,4681,True,HouseType 1: Pisos,False,False,1980.0,,,,True,True,True,True,,True,True,,,,,True,True,D,True,,,True,0.0,True,False,True,True
6748,14994,Piso en venta en calle martin de los heros,"Argüelles, Madrid",85.0,,4,2.0,,,,,Calle martin de los heros,True,Calle martin de los heros,,,2.0,False,,Neighborhood 73: Argüelles (4807.69 €/m2) - District 11: Moncloa,sale,1480,,False,418000,4918,True,HouseType 1: Pisos,False,False,1950.0,True,False,,True,True,True,False,,,,,,,,,,D,False,,,,,,,,
6751,14991,Piso en venta en Ciudad Universitaria,"Moncloa, Madrid",166.0,,4,3.0,,,,,,True,,,,2.0,False,,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,1978,,False,635000,3825,True,HouseType 1: Pisos,True,False,1971.0,True,False,,,,True,True,,True,True,,True,,,,True,en trámite,True,,,True,0.0,False,True,True,False
6752,14990,Ático en venta en Aravaca,"Moncloa, Madrid",182.0,,3,3.0,,,,,,True,,,,2.0,False,,Neighborhood 72: Aravaca (3600.4 €/m2) - District 11: Moncloa,sale,2470,,False,890000,4890,True,HouseType 5: Áticos,False,False,2008.0,False,True,,True,True,True,True,,,True,True,True,,,,,E,True,,,True,0.0,False,False,False,True
6756,14986,Piso en venta en Ciudad Universitaria,"Moncloa, Madrid",433.0,,5,5.0,,,,,,True,,,,5.0,False,,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,1900,,False,1200000,2771,True,HouseType 1: Pisos,False,False,1971.0,True,False,,True,True,True,True,,True,,,True,,,,True,en trámite,True,,,True,0.0,,,,
6764,14978,Piso en venta en Ciudad Universitaria,"Moncloa, Madrid",166.0,,4,3.0,,,,,,True,,,,2.0,False,,Neighborhood 75: Ciudad Universitaria (3810.08 €/m2) - District 11: Moncloa,sale,1978,,False,635000,3825,True,HouseType 1: Pisos,True,False,1971.0,True,False,,,True,True,True,,True,True,,True,,,,True,en trámite,True,,,True,0.0,False,True,True,False
